Designator,Mid X,Mid Y,Rotation,Layer
BT1,137.075,-122.5,180.0,bottom
C13,125.9,-135.8,90.0,top
C14,170.5,-109.3,180.0,top
C15,131.6,-130.5,180.0,top
C16,137.5,-122.1,270.0,top
C17,157.0,-109.805,0.0,top
C18,157.0,-111.305,180.0,top
C19,160.4,-117.3,0.0,top
C20,163.2,-119.8,90.0,top
C21,148.18,-123.2,270.0,top
C22,164.9,-133.0,0.0,top
C23,153.5,-140.7,270.0,top
C24,174.9,-114.3,270.0,top
C26,134.1,-136.9,90.0,top
C27,142.0,-140.7,90.0,top
C28,143.5,-137.4,90.0,top
C32,121.3,-126.1,180.0,top
C33,122.8,-118.7,0.0,top
C34,149.4,-136.2,0.0,top
C41,164.9,-131.1,0.0,top
C42,170.5,-110.8,180.0,top
C43,147.6,-120.7,180.0,top
C44,132.6,-136.9,270.0,top
C45,124.7,-124.9,180.0,top
C46,131.6,-121.8,0.0,top
C47,163.7,-135.9,0.0,top
C48,186.2,-131.8,180.0,top
D1,117.7,-120.6,90.0,top
D2,117.7,-124.5,270.0,top
L3,168.9,-137.4,0.0,top
R10,123.8,-122.4,90.0,top
R11,114.3,-123.3,0.0,top
R12,186.2,-128.6,0.0,top
R13,126.3,-142.5,180.0,top
R18,152.0,-140.675,270.0,top
R2,182.9,-131.8,180.0,top
R24,153.5,-137.3,270.0,top
R26,134.5,-125.4,90.0,top
R27,173.4,-114.3,90.0,top
R28,127.4,-135.8,270.0,top
R29,131.6,-132.0,0.0,top
R30,171.0,-117.8,0.0,top
R31,171.0,-119.3,0.0,top
R33,160.4,-109.805,180.0,top
R34,160.4,-114.3,0.0,top
R35,151.3,-123.2,270.0,top
R36,157.0125,-115.8,180.0,top
R37,160.4,-111.305,180.0,top
R38,160.4,-115.8,0.0,top
R39,151.8,-119.7,90.0,top
R40,157.0,-117.3,180.0,top
R41,114.3,-121.8,0.0,top
R42,128.3,-130.5,0.0,top
R43,126.5,-133.4,0.0,top
R44,126.2,-117.2,0.0,top
R45,124.6,-127.6,180.0,top
R46,126.3,-141.0,0.0,top
R47,171.0,-120.8,0.0,top
R48,171.0,-122.3,0.0,top
R49,122.8,-117.2,0.0,top
R50,121.3,-127.6,180.0,top
R51,135.995,-122.1,90.0,top
R52,143.5,-140.7,90.0,top
R53,139.0,-137.4,270.0,top
R54,140.5,-137.4,270.0,top
R55,142.0,-137.4,90.0,top
R56,157.0,-114.3,180.0,top
R57,146.7,-123.2,90.0,top
R58,164.4,-112.9,270.0,top
R59,162.9,-112.9,270.0,top
R60,134.5,-122.1,90.0,top
R61,149.7,-123.2,90.0,top
R62,168.3,-129.6,180.0,top
R63,171.6,-129.6,180.0,top
U1,142.1,-123.2,270.0,top
U12,130.0,-135.7,270.0,top
U13,148.2,-138.8,0.0,top
U2,168.925,-114.295,270.0,top
U3,130.3,-124.4,270.0,top
U7,169.0,-132.2,0.0,top
U8,121.2,-122.4,270.0,top
